Task_ID,Priority,Project_ID,Project_code,Category,Total_developers,TaskPerformance,DeveloperPerformance,Hours_estimate,Hours_logged,Difference,Estimate_Effort
8962,1,2,PC2,Release,1,5.25,5.25,7,1.75,5.25,1.853448276
9732,1,2,PC2,Release,1,5.25,5.25,7,1.75,5.25,1.853448276
9819,5,9,PC9,Bug,1,5.25,5.25,7,1.75,5.25,1.853448276
13186,1,5,PC5,Release,1,-5.22,-5.22,21,26.22,5.22,3.663793103
6398,1,2,PC2,Enhancement,1,5.17,6.67,7,1.83,5.17,1.853448276
6398,1,2,PC2,Enhancement,1,5.17,NA,7,1.83,5.17,1.853448276
12636,1,6,PC6,Enhancement,1,5.17,5.17,21,15.83,5.17,3.663793103
6910,5,9,PC9,Enhancement,1,-5.15,0,5,10.15,5.15,1.594827586
6910,5,9,PC9,Enhancement,1,-5.15,NA,5,10.15,5.15,1.594827586
6910,5,9,PC9,Enhancement,1,-5.15,NA,5,10.15,5.15,1.594827586
12469,1,6,PC6,Enhancement,1,5.11,5.11,7,1.89,5.11,1.853448276
7803,4,9,PC9,Enhancement,1,-5.1,-4.5,7,12.1,5.1,1.853448276
7803,4,9,PC9,Enhancement,1,-5.1,NA,7,12.1,5.1,1.853448276
3447,1,9,PC9,Enhancement,1,5,5,7,2,5,1.853448276
3699,1,16,PC16,Enhancement,1,5,5,14,9,5,2.75862069
4096,5,11,PC11,Bug,1,-5,-5,7,12,5,1.853448276
4196,1,2,PC2,Enhancement,1,5,NA,10.5,5.5,5,2.306034483
4196,1,2,PC2,Enhancement,1,5,7.5,10.5,5.5,5,2.306034483
4292,1,2,PC2,Bug,1,5,5,7,2,5,1.853448276
4751,1,2,PC2,Enhancement,1,-5,-5,5,10,5,1.594827586
4983,1,9,PC9,Testing,1,-5,-1.5,2,7,5,1.206896552
4983,1,9,PC9,Testing,1,-5,NA,2,7,5,1.206896552
5085,2,16,PC16,Enhancement,1,-5,-5,5,10,5,1.594827586
5604,2,16,PC16,Enhancement,1,-5,-5,14,19,5,2.75862069
5955,2,2,PC2,Enhancement,1,-5,-5,7,12,5,1.853448276
6373,1,17,PC17,Enhancement,1,5,5,20,15,5,3.534482759
6527,1,2,PC2,Enhancement,1,5,5,7,2,5,1.853448276
6897,1,2,PC2,Enhancement,1,-5,-5,3,8,5,1.336206897
7300,1,2,PC2,Enhancement,1,5,5,7,2,5,1.853448276
7399,5,2,PC2,Testing,1,5,5,10,5,5,2.24137931
7605,1,2,PC2,Bug,1,-5,-5,7,12,5,1.853448276
7802,5,9,PC9,Bug,1,5,5,14,9,5,2.75862069
7811,1,2,PC2,Bug,1,5,5,7,2,5,1.853448276
7979,3,2,PC2,Enhancement,1,-5,-5,1,6,5,1.077586207
8295,3,9,PC9,Bug,1,-5,0.75,7,12,5,1.853448276
8295,3,9,PC9,Bug,1,-5,NA,7,12,5,1.853448276
8418,5,9,PC9,Enhancement,1,5,5,7,2,5,1.853448276
8528,1,2,PC2,Bug,1,5,5,7,2,5,1.853448276
8675,1,2,PC2,Testing,1,5,5,7,2,5,1.853448276
8803,1,2,PC2,Bug,1,5,5,7,2,5,1.853448276
8878,3,2,PC2,Enhancement,1,5,5,14,9,5,2.75862069
8983,1,2,PC2,Bug,1,5,5,7,2,5,1.853448276
10139,1,9,PC9,Enhancement,1,-5,NA,21,26,5,3.663793103
10139,1,9,PC9,Enhancement,1,-5,-3,21,26,5,3.663793103
10632,2,9,PC9,Enhancement,1,5,5,35,30,5,5.474137931
12506,1,6,PC6,Release,1,-4.96,NA,3.5,8.46,4.96,1.400862069
12506,1,6,PC6,Release,1,-4.96,NA,3.5,8.46,4.96,1.400862069
12506,1,6,PC6,Release,1,-4.96,-1.96,3.5,8.46,4.96,1.400862069
6236,1,9,PC9,Enhancement,1,-4.91,0.84,6,10.91,4.91,1.724137931
6236,1,9,PC9,Enhancement,1,-4.91,NA,6,10.91,4.91,1.724137931
3367,1,2,PC2,Bug,1,-4.9,0,7,11.9,4.9,1.853448276
3367,1,2,PC2,Bug,1,-4.9,NA,7,11.9,4.9,1.853448276
3384,3,2,PC2,Bug,1,4.9,4.9,7,2.1,4.9,1.853448276
13242,1,5,PC5,Enhancement,1,-4.8,NA,35,39.8,4.8,5.474137931
13242,1,5,PC5,Enhancement,1,-4.8,17.95,35,39.8,4.8,5.474137931
14141,1,5,PC5,Bug,1,4.77,NA,7,2.23,4.77,1.853448276
14141,1,5,PC5,Bug,1,4.77,5.27,7,2.23,4.77,1.853448276
4256,3,2,PC2,Bug,1,-4.75,-4.75,3,7.75,4.75,1.336206897
4272,5,2,PC2,Bug,1,-4.75,NA,2,6.75,4.75,1.206896552
4272,5,2,PC2,Bug,1,-4.75,-4.5,2,6.75,4.75,1.206896552
5618,4,2,PC2,Release,1,-4.75,-4.75,3.5,8.25,4.75,1.400862069
6269,5,9,PC9,Enhancement,1,4.75,4.75,7,2.25,4.75,1.853448276
6692,5,9,PC9,Enhancement,1,-4.75,4.25,14,18.75,4.75,2.75862069
6692,5,9,PC9,Enhancement,1,-4.75,NA,14,18.75,4.75,2.75862069
7924,1,9,PC9,Enhancement,1,-4.75,-4.75,2,6.75,4.75,1.206896552
8833,1,2,PC2,Bug,1,4.75,4.75,7,2.25,4.75,1.853448276
10807,1,9,PC9,Enhancement,1,-4.75,-4.75,1,5.75,4.75,1.077586207
11384,1,13,PC13,Release,1,-4.75,-4.75,7,11.75,4.75,1.853448276
11695,1,13,PC13,Enhancement,1,-4.75,-4.75,3.5,8.25,4.75,1.400862069
11830,1,13,PC13,Enhancement,1,-4.75,-4.75,3,7.75,4.75,1.336206897
12942,1,5,PC5,Testing,1,4.75,4.75,14,9.25,4.75,2.75862069
12154,1,6,PC6,Release,1,-4.72,-4.72,3.5,8.22,4.72,1.400862069
12585,1,6,PC6,Bug,1,4.68,4.68,15,10.32,4.68,2.887931034
7761,5,9,PC9,Release,1,4.65,NA,21,16.35,4.65,3.663793103
7761,5,9,PC9,Release,1,4.65,11,21,16.35,4.65,3.663793103
12286,1,6,PC6,Release,1,-4.61,-4.61,21,25.61,4.61,3.663793103
12460,1,6,PC6,Enhancement,1,4.59,4.59,14,9.41,4.59,2.75862069
10975,1,8,PC8,Enhancement,1,-4.55,-4.55,7,11.55,4.55,1.853448276
3345,2,8,PC8,Enhancement,1,4.55,4.55,10.5,5.95,4.55,2.306034483
11300,1,9,PC9,Enhancement,1,-4.55,-4.55,35,39.55,4.55,5.474137931
12324,1,6,PC6,Enhancement,1,4.52,4.52,14,9.48,4.52,2.75862069
3641,3,2,PC2,Release,1,4.5,4.5,30,25.5,4.5,4.827586207
3783,2,11,PC11,Enhancement,1,-4.5,-4.5,2,6.5,4.5,1.206896552
3804,1,2,PC2,Bug,1,-4.5,-4.5,3,7.5,4.5,1.336206897
3998,1,2,PC2,Bug,1,4.5,4.5,7,2.5,4.5,1.853448276
4056,10,9,PC9,Enhancement,1,-4.5,-4.5,10,14.5,4.5,2.24137931
4101,1,2,PC2,Enhancement,1,4.5,4.5,7,2.5,4.5,1.853448276
4452,5,2,PC2,Enhancement,1,-4.5,-4.5,5,9.5,4.5,1.594827586
4866,1,8,PC8,Enhancement,1,-4.5,-2,2,6.5,4.5,1.206896552
4866,1,8,PC8,Enhancement,1,-4.5,NA,2,6.5,4.5,1.206896552
5026,5,2,PC2,Enhancement,1,-4.5,-3,7,11.5,4.5,1.853448276
5026,5,2,PC2,Enhancement,1,-4.5,NA,7,11.5,4.5,1.853448276
5121,1,9,PC9,Release,1,4.5,4.5,7,2.5,4.5,1.853448276
5206,1,2,PC2,Enhancement,1,4.5,4.5,5,0.5,4.5,1.594827586
5368,3,2,PC2,Bug,1,-4.5,-4,3,7.5,4.5,1.336206897
5368,3,2,PC2,Bug,1,-4.5,NA,3,7.5,4.5,1.336206897
5575,2,2,PC2,Enhancement,1,-4.5,-4.5,5,9.5,4.5,1.594827586
5595,2,2,PC2,Enhancement,1,4.5,4.5,14,9.5,4.5,2.75862069
6071,1,2,PC2,Enhancement,1,-4.5,-4.5,7,11.5,4.5,1.853448276
